web_scraper_order,web_scraper_start_url,annonce,titre,prix,adresse,image
"1768055243-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3219232","Chaussures enfants","15 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4676405_uploaded_image1_1712262646.jpg"
"1768055245-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3219248","Chaussures enfants","15 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4676405_uploaded_image1_1712262646.jpg"
"1768055248-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3222222","Chaussures enfants","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3222222_uploaded_image1_1626008303.jpg"
"1768055252-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3224546","Chaussures enfants","20 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5698971_uploaded_image1_1767319248.jpg"
"1768055254-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3227293","Chaussures enfants","20 000 CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_3934730_uploaded_image1_1666662380.jpg"
"1768055256-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/babouches-enfant-3231496","Babouches enfant","7 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_3231496_uploaded_image1_1626390253.jpg"
"1768055259-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3247099","Chaussures enfant Ogiy","17 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4623157_uploaded_image1_1709480174.jpg"
"1768055261-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fille-3252340","Chaussures enfants","7 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1768055264-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3267690","Chaussures enfants","3 500 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5294713_uploaded_image1_1745421584.jpg"
"1768055266-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3288165","Chaussures enfants","20 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5698980_uploaded_image1_1767320096.jpg"
"1768055269-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3288168","Chaussures enfants","20 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5698980_uploaded_image1_1767320096.jpg"
"1768055271-12","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3288174","Chaussures enfants","20 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5698980_uploaded_image1_1767320096.jpg"
"1768055273-13","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3305453","Chaussures enfants","20 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5698980_uploaded_image1_1767320096.jpg"
"1768055276-14","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3312395","Chaussures enfants","20 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5698980_uploaded_image1_1767320096.jpg"
"1768055278-15","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-enfants-3316031","Baskets Nike","14 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5568313_uploaded_image1_1760122555.jpg"
"1768055281-16","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/mocassins-enfant-3319920","Mocassins enfant","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3319920_uploaded_image1_1630947708.jpg"
"1768055283-17","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-enfants-3327812","Baskets Nike","14 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5568313_uploaded_image1_1760122555.jpg"
"1768055286-18","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3331774","Chaussures enfants","20 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5698980_uploaded_image1_1767320096.jpg"
"1768055288-19","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3336753","Chaussures enfant","5 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_3336753_uploaded_image1_1631736848.jpg"
